Fare for Bike,[Waiting Time of Bike],Fare for Auto,[Waiting Time of Auto],Fare for Car,[Waiting Time of Car],Platform,Hour,Minute,DecimalHour,Day,Weekend,Rushhour,DistanceKm,Duration,TrafficLevel,SurgeValue,PickupTemperature,PickupWindSpeed,PickupWeatherCode,PickupHumidity,DropTemperature,DropWindSpeed,DropWeatherCode,DropHumidity,PickupZone,DropZone,BikeWait,AutoWait,CarWait,priceKmBike,priceKmAuto,priceKmCar
109.26,4,223.04,3,261.68,1,UBER,7,47,7.78,5,0,1,16.24,31,NORMAL,0,19.3,3,0,85,19.3,3,0,85,RESIDENTIAL,RESIDENTIAL,4,3,1,6.73,13.73,16.11
262,5,372,2,431,5,RAPIDO,8,3,8.05,5,0,1,2.82,7.25,MODERATE,1,19.3,2.6,0,83,19.4,2.6,0,83,RESIDENTIAL,RESIDENTIAL,5,2,5,92.91,131.91,152.84
147,3,258,3,288,3,RAPIDO,8,6,8.1,5,0,1,17.211,40.3,MODERATE,1,18.7,2.9,0,86,19.8,2.9,0,84,RESIDENTIAL,RESIDENTIAL,3,3,3,8.54,14.99,16.73
61,2,117,2,156,2,RAPIDO,8,10,8.17,5,0,1,5.438,11.98333333,MODERATE,0,19.8,2.9,0,84,19.8,2.9,0,84,RESIDENTIAL,RESIDENTIAL,2,2,2,11.22,21.52,28.69
124,2,191,3,238,2,RAPIDO,8,13,8.22,5,0,1,15.221,32.03333333,MODERATE,0,19.8,2.9,0,84,19.3,2.6,0,83,RESIDENTIAL,RESIDENTIAL,2,3,2,8.15,12.55,15.64
105,2,166,4,198,2,RAPIDO,8,16,8.27,5,0,1,11.919,30.6,MODERATE,0,19.3,2.4,0,86,20.5,2.9,0,81,ENTERTAINMENT,RESIDENTIAL,2,4,2,8.81,13.93,16.61
46,2,87,2,118,2,RAPIDO,8,19,8.32,5,0,1,4.838,13.2,MODERATE,0,20.4,2.9,0,81,20.4,2.9,0,81,RESIDENTIAL,RESIDENTIAL,2,2,2,9.51,17.98,24.39
30,3,75,3,105,3,RAPIDO,8,22,8.37,5,0,1,4.023,8.716666667,MODERATE,0,20.4,2.9,0,81,20.4,2.9,0,81,RESIDENTIAL,RESIDENTIAL,3,3,3,7.46,18.64,26.1
33,2,58,2,103,2,RAPIDO,8,27,8.45,5,0,1,4.167,9.25,MODERATE,0,20.5,2.9,0,81,20.4,2.9,0,81,RESIDENTIAL,RESIDENTIAL,2,2,2,7.92,13.92,24.72
69,6,138,6,159,6,RAPIDO,8,32,8.53,5,0,1,8.013,23.96666667,HEAVY,0,21,2.9,0,79,21.1,2.9,0,79,RESIDENTIAL,RESIDENTIAL,6,6,6,8.61,17.22,19.84
184,5,268,5,315,5,RAPIDO,8,37,8.62,5,0,1,21.504,47.7,MODERATE,0,21.1,2.9,0,79,20.4,2.5,0,80,RESIDENTIAL,RESIDENTIAL,5,5,5,8.56,12.46,14.65
29,2,46.86,2,100.62,1,UBER,11,38,11.63,5,0,0,0.916,1.9,MODERATE,0,28,2.3,0,59,28.1,2.3,0,59,RESIDENTIAL,TRANSIT_HUB,2,2,1,31.66,51.16,109.85
80.02,2,118.21,1,180.81,1,UBER,11,48,11.8,5,0,0,10.213,22.51666667,MODERATE,0,29.3,3,0,51,29.3,3,0,51,RESIDENTIAL,RESIDENTIAL,2,1,1,7.84,11.57,17.7
86,3,133,3,180,3,RAPIDO,11,50,11.83,5,0,0,10.213,22.51666667,MODERATE,0,29.3,3,0,51,29.3,3,0,51,RESIDENTIAL,RESIDENTIAL,3,3,3,8.42,13.02,17.62
32,3,55,3,104,3,RAPIDO,11,59,11.98,5,0,0,1.633,4.133333333,MODERATE,0,29.3,1.8,0,51,29.3,1.8,0,51,TRANSIT_HUB,RESIDENTIAL,3,3,3,19.6,33.68,63.69
27,2,51.5,2,104.2,1,UBER,12,21,12.35,5,0,0,3.107,7.883333333,MODERATE,0,30.1,2.3,0,50,30.1,2.3,0,50,HEALTHCARE,TRANSIT_HUB,2,2,1,8.69,16.58,33.54
213,3,566,3,445,6,RAPIDO,12,31,12.52,5,0,0,25.702,53.11666667,MODERATE,0,30.5,3.1,0,48,31,4,0,47,RESIDENTIAL,RESIDENTIAL,3,3,6,8.29,22.02,17.31
85,3,112,3,166,3,RAPIDO,12,38,12.63,5,0,0,10.391,16.76666667,NORMAL,0,30.5,2.3,0,49,31.1,3.1,0,47,TRANSIT_HUB,RESIDENTIAL,3,3,3,8.18,10.78,15.98
23,2,67.95,2,101.25,2,UBER,13,43,13.72,5,0,0,1.471,5.133333333,HEAVY,0,31.8,4.2,0,43,31.8,4.2,0,43,RESIDENTIAL,RESIDENTIAL,2,2,2,15.64,46.19,68.83
283,2,,,522,2,RAPIDO,13,49,13.82,5,0,0,4.899,12.61666667,MODERATE,1,32,3.9,0,43,32,3.9,0,43,RESIDENTIAL,RESIDENTIAL,2,0,2,57.77,0,106.55
252.72,3,374.72,6,478.65,1,UBER,13,54,13.9,5,0,0,4.899,12.61666667,MODERATE,0,32,3.9,0,43,32,3.9,0,43,RESIDENTIAL,RESIDENTIAL,3,6,1,51.59,76.49,97.7
88.53,2,176.28,5,171.18,3,UBER,14,13,14.22,5,0,0,13.373,27.11666667,NORMAL,0,32.2,4.4,0,42,32.9,5.1,0,38,RESIDENTIAL,RESIDENTIAL,2,5,3,6.62,13.18,12.8
117,1,172,1,198,1,RAPIDO,14,15,14.25,5,0,0,13.373,27.11666667,NORMAL,1,32.4,4.7,0,41,33.1,5.4,0,37,RESIDENTIAL,RESIDENTIAL,1,1,1,8.75,12.86,14.81
103,2,173,3,210,4,OLA,17,18,17.3,5,0,1,10.493,25.71666667,MODERATE,0,32.2,5.6,0,37,32.2,5.6,0,37,HEALTHCARE,RESIDENTIAL,2,3,4,9.82,16.49,20.01
96.56,1,137.89,2,256.5,1,UBER,17,20,17.33,5,0,1,10.493,25.71666667,MODERATE,0,32.2,5.6,0,37,32.2,5.6,0,37,HEALTHCARE,RESIDENTIAL,1,2,1,9.2,13.14,24.44
77,4,150,4,196,4,RAPIDO,17,22,17.37,5,0,1,10.493,25.71666667,MODERATE,0,32.2,5.6,0,37,32.2,5.6,0,37,HEALTHCARE,RESIDENTIAL,4,4,4,7.34,14.3,18.68
70,2,97,3,148,3,OLA,17,27,17.45,5,0,1,4.003,14.85,HEAVY,0,32.2,5.6,0,37,32.1,5.6,0,37,HEALTHCARE,RESIDENTIAL,2,3,3,17.49,24.23,36.97
68,2,128,2,200,2,RAPIDO,17,34,17.57,5,0,1,8.723,22.1,MODERATE,0,32.3,5.2,0,36,32.3,5.2,0,36,HEALTHCARE,RESIDENTIAL,2,2,2,7.8,14.67,22.93
90.75,2,156.79,2,199.77,3,UBER,17,36,17.6,5,0,1,8.723,22.1,MODERATE,0,32.3,5.2,0,36,32.3,5.2,0,36,HEALTHCARE,RESIDENTIAL,2,2,3,10.4,17.97,22.9
27,1,61,1,105,1,RAPIDO,17,38,17.63,5,0,1,3.634,9.233333333,MODERATE,0,32.3,5.2,0,36,32.3,5.2,0,36,RESIDENTIAL,HEALTHCARE,1,1,1,7.43,16.79,28.89
39,4,67.45,3,162.98,3,UBER,17,41,17.68,5,0,1,3.634,9.233333333,MODERATE,0,32.3,5.2,0,36,32.3,5.2,0,36,RESIDENTIAL,HEALTHCARE,4,3,3,10.73,18.56,44.85
49,1,86,1,175,1,RAPIDO,17,43,17.72,5,0,1,3.36,7,MODERATE,1,32.1,5,0,37,32.1,5,0,37,EDUCATION,RESIDENTIAL,1,1,1,14.58,25.6,52.08
41,3,70,2,124,4,UBER,17,45,17.75,5,0,1,3.36,7,MODERATE,1,31.7,4.5,0,39,31.7,4.5,0,39,EDUCATION,RESIDENTIAL,3,2,4,12.2,20.83,36.9
28,3,70,3,103,3,RAPIDO,17,47,17.78,5,0,1,1.612,4.333333333,MODERATE,0,31.7,4.5,0,39,31.7,4.5,0,39,EDUCATION,RESIDENTIAL,3,3,3,17.37,43.42,63.9
31,2,68,1,107,2,UBER,17,48,17.8,5,0,1,1.612,4.333333333,MODERATE,0,31.7,4.5,0,39,31.7,4.5,0,39,EDUCATION,RESIDENTIAL,2,1,2,19.23,42.18,66.38
150,4,311,4,391,4,RAPIDO,17,49,17.82,5,0,1,15.248,31.48333333,MODERATE,1,32,4.7,0,37,31.6,4.8,0,38,RESIDENTIAL,HEALTHCARE,4,4,4,9.84,20.4,25.64
123,2,211,4,386,2,UBER,17,50,17.83,5,0,1,15.248,31.48333333,MODERATE,0,32,4.7,0,37,31.6,4.8,0,38,RESIDENTIAL,HEALTHCARE,2,4,2,8.07,13.84,25.31
164,2,,,292,2,RAPIDO,17,52,17.87,5,0,1,17.855,33.03333333,NORMAL,0,30.8,4.5,0,42,31.6,4.8,0,38,TRANSIT_HUB,HEALTHCARE,2,0,2,9.19,0,16.35
157,4,,,392,2,UBER,17,53,17.88,5,0,1,17.855,33.03333333,NORMAL,0,30.8,4.5,0,42,31.6,4.8,0,38,TRANSIT_HUB,HEALTHCARE,4,0,2,8.79,0,21.95
92,4,170,4,189,4,RAPIDO,18,18,18.3,5,0,1,10.493,25.71666667,MODERATE,0,30.7,3.4,0,41,30.7,3.4,0,41,HEALTHCARE,RESIDENTIAL,4,4,4,8.77,16.2,18.01
53,4,132,4,122,4,RAPIDO,18,20,18.33,5,0,1,4.003,14.85,HEAVY,0,30.7,3.4,0,41,30.6,3.4,0,41,HEALTHCARE,RESIDENTIAL,4,4,4,13.24,32.98,30.48
92,2,163,2,197,2,RAPIDO,18,23,18.38,5,0,1,8.723,22.1,MODERATE,1,31.1,3,0,41,31.1,3,0,41,HEALTHCARE,RESIDENTIAL,2,2,2,10.55,18.69,22.58
41,1,64,1,118,1,RAPIDO,18,24,18.4,5,0,1,3.634,9.233333333,MODERATE,0,31.1,3,0,41,31.1,3,0,41,RESIDENTIAL,HEALTHCARE,1,1,1,11.28,17.61,32.47
39,1,55,1,104,1,RAPIDO,18,26,18.43,5,0,1,3.36,7,MODERATE,0,30.8,2.7,0,43,30.8,2.7,0,43,EDUCATION,RESIDENTIAL,1,1,1,11.61,16.37,30.95
29,3,55,3,103,3,RAPIDO,18,27,18.45,5,0,1,1.612,4.333333333,MODERATE,0,30.8,2.7,0,43,30.8,2.7,0,43,EDUCATION,RESIDENTIAL,3,3,3,17.99,34.12,63.9
146,4,349,4,355,4,RAPIDO,18,28,18.47,5,0,1,15.248,31.48333333,MODERATE,0,31.1,3,0,41,30.7,3.4,0,41,RESIDENTIAL,HEALTHCARE,4,4,4,9.58,22.89,23.28
162,2,,,290,2,RAPIDO,18,30,18.5,5,0,1,17.855,33.03333333,NORMAL,0,29,4,0,47,30.3,3,0,42,TRANSIT_HUB,HEALTHCARE,2,0,2,9.07,0,16.24
91,4,168,4,194,4,RAPIDO,19,9,19.15,5,0,1,10.493,25.71666667,MODERATE,0,29.5,2.5,0,44,29.5,2.5,0,44,HEALTHCARE,RESIDENTIAL,4,4,4,8.67,16.01,18.49
52,4,118,4,130,4,RAPIDO,19,10,19.17,5,0,1,4.003,14.85,HEAVY,0,29.5,2.5,0,44,29.4,2.5,0,44,HEALTHCARE,RESIDENTIAL,4,4,4,12.99,29.48,32.48
92,2,137,2,337,2,RAPIDO,19,11,19.18,5,0,1,8.723,22.1,MODERATE,0,30.1,2.5,0,43,30.1,2.5,0,43,HEALTHCARE,RESIDENTIAL,2,2,2,10.55,15.71,38.63
41,1,73,1,122,1,RAPIDO,19,13,19.22,5,0,1,3.634,9.233333333,MODERATE,0,30.1,2.5,0,43,30.1,2.5,0,43,RESIDENTIAL,HEALTHCARE,1,1,1,11.28,20.09,33.57
36,1,64,1,103,1,RAPIDO,19,14,19.23,5,0,1,3.36,7,MODERATE,0,29.7,1.8,0,46,29.7,1.8,0,46,EDUCATION,RESIDENTIAL,1,1,1,10.71,19.05,30.65
25,3,55,3,102,3,RAPIDO,19,15,19.25,5,0,1,1.612,4.333333333,MODERATE,0,29.4,1.4,0,46,29.4,1.4,0,46,EDUCATION,RESIDENTIAL,3,3,3,15.51,34.12,63.28
143,4,241,4,412,4,RAPIDO,19,17,19.28,5,0,1,15.248,31.48333333,MODERATE,0,29.8,2.5,0,44,29.2,2.5,0,44,RESIDENTIAL,HEALTHCARE,4,4,4,9.38,15.81,27.02
165,2,,,289,2,RAPIDO,19,18,19.3,5,0,1,17.855,33.03333333,NORMAL,0,27.6,3.6,0,50,29.2,2.5,0,44,TRANSIT_HUB,HEALTHCARE,2,0,2,9.24,0,16.19
80,3,145,2,249,1,UBER,19,34,19.57,5,0,1,10.493,25.71666667,MODERATE,0,28.9,2.5,0,45,28.9,2.5,0,45,HEALTHCARE,RESIDENTIAL,3,2,1,7.62,13.82,23.73
48,3,81,2,179,1,UBER,19,37,19.62,5,0,1,4.003,14.85,HEAVY,0,28.9,2.5,0,45,28.8,2.5,0,45,HEALTHCARE,RESIDENTIAL,3,2,1,11.99,20.23,44.72
82,4,149,3,206,2,UBER,19,39,19.65,5,0,1,8.723,22.1,MODERATE,0,29.5,2.5,0,44,29.5,2.5,0,44,HEALTHCARE,RESIDENTIAL,4,3,2,9.4,17.08,23.62
34,2,63,2,128,2,UBER,19,40,19.67,5,0,1,3.634,9.233333333,MODERATE,0,29.5,2.5,0,44,29.5,2.5,0,44,RESIDENTIAL,HEALTHCARE,2,2,2,9.36,17.34,35.22
35,2,73,2,126,3,UBER,19,41,19.68,5,0,1,3.36,7,MODERATE,0,29.1,1.4,0,46,29.1,1.4,0,46,EDUCATION,RESIDENTIAL,2,2,3,10.42,21.73,37.5
31,2,75,1,109,2,UBER,19,42,19.7,5,0,1,1.612,4.333333333,MODERATE,0,29.1,1.4,0,46,29.1,1.4,0,46,EDUCATION,RESIDENTIAL,2,1,2,19.23,46.53,67.62
110,3,210,5,382,3,UBER,19,44,19.73,5,0,1,15.248,31.48333333,MODERATE,0,29.5,2.5,0,44,28.9,2.5,0,45,RESIDENTIAL,HEALTHCARE,3,5,3,7.21,13.77,25.05
158,4,,,374,3,UBER,19,45,19.75,5,0,1,17.855,33.03333333,NORMAL,0,27,3.3,0,50,28.6,2.5,0,46,TRANSIT_HUB,HEALTHCARE,4,0,3,8.85,0,20.95
93,4,134,4,179,4,RAPIDO,20,37,20.62,5,0,1,10.493,25.71666667,MODERATE,0,27.7,2.5,0,47,27.7,2.5,0,47,HEALTHCARE,RESIDENTIAL,4,4,4,8.86,12.77,17.06
51,4,97,4,119,4,RAPIDO,20,38,20.63,5,0,1,4.003,14.85,HEAVY,0,27.7,2.5,0,47,27.6,2.5,0,47,HEALTHCARE,RESIDENTIAL,4,4,4,12.74,24.23,29.73
84,2,132,2,195,2,RAPIDO,20,39,20.65,5,0,1,8.723,22.1,MODERATE,0,28.3,2.5,0,47,28.3,2.5,0,47,HEALTHCARE,RESIDENTIAL,2,2,2,9.63,15.13,22.35
34,3,51.82,3,128.74,2,UBER,20,40,20.67,5,0,1,0.916,1.9,MODERATE,0,26.1,3.6,0,57,26.1,3.6,0,57,RESIDENTIAL,TRANSIT_HUB,3,3,2,37.12,56.57,140.55
35,1,56,1,104,1,RAPIDO,20,41,20.68,5,0,1,3.634,9.233333333,MODERATE,0,28.3,2.5,0,47,28.3,2.5,0,47,RESIDENTIAL,HEALTHCARE,1,1,1,9.63,15.41,28.62
38,1,55,1,104,1,RAPIDO,20,42,20.7,5,0,1,3.36,7,MODERATE,0,27.9,1.3,0,47,27.9,1.3,0,47,EDUCATION,RESIDENTIAL,1,1,1,11.31,16.37,30.95
28,3,55,3,102,3,RAPIDO,20,43,20.72,5,0,1,1.612,4.333333333,MODERATE,0,27.9,1.3,0,47,27.9,1.3,0,47,EDUCATION,RESIDENTIAL,3,3,3,17.37,34.12,63.28
126,4,251,4,362,4,RAPIDO,20,44,20.73,5,0,1,15.248,31.48333333,MODERATE,0,28.3,2.5,0,47,27.7,2.5,0,47,RESIDENTIAL,HEALTHCARE,4,4,4,8.26,16.46,23.74
159,2,,,301,2,RAPIDO,20,45,20.75,5,0,1,17.855,33.03333333,NORMAL,0,26.1,2.3,0,50,27.4,2.5,0,48,TRANSIT_HUB,HEALTHCARE,2,0,2,8.91,0,16.86
82.02,3,150.54,1,263.39,1,UBER,20,55,20.92,5,0,1,10.213,22.51666667,MODERATE,0,27.4,2.5,0,48,27.4,2.5,0,48,RESIDENTIAL,RESIDENTIAL,3,1,1,8.03,14.74,25.79
85,4,140,4,180,4,RAPIDO,20,59,20.98,5,0,1,10.213,22.51666667,MODERATE,0,27.4,2.5,0,48,27.4,2.5,0,48,RESIDENTIAL,RESIDENTIAL,4,4,4,8.32,13.71,17.62
20,4,56,4,110,4,RAPIDO,21,5,21.08,5,0,1,1.633,4.133333333,MODERATE,0,27.7,2.2,0,48,27.7,2.2,0,48,TRANSIT_HUB,RESIDENTIAL,4,4,4,12.25,34.29,67.36
25,4,79.58,3,99.2,2,UBER,21,9,21.15,5,0,1,3.107,7.883333333,MODERATE,0,27.7,2.2,0,48,27.7,2.2,0,48,HEALTHCARE,TRANSIT_HUB,4,3,2,8.05,25.61,31.93
210,3,310,3,403,3,RAPIDO,21,12,21.2,5,0,1,25.702,53.11666667,MODERATE,0,27,2.5,0,48,24.6,2.9,0,53,RESIDENTIAL,RESIDENTIAL,3,3,3,8.17,12.06,15.68
87,4,112,4,180,4,RAPIDO,21,15,21.25,5,0,1,10.391,16.76666667,NORMAL,0,27.4,2.2,0,48,27,1,0,49,TRANSIT_HUB,RESIDENTIAL,4,4,4,8.37,10.78,17.32
23,3,65.15,3,121.17,2,UBER,21,18,21.3,5,0,1,1.471,5.133333333,HEAVY,0,26.7,2.2,0,49,26.7,2.2,0,49,RESIDENTIAL,RESIDENTIAL,3,3,2,15.64,44.29,82.37
47,4,89,4,115,4,RAPIDO,21,21,21.35,5,0,1,4.899,12.61666667,MODERATE,0,27.4,2.2,0,48,27.4,2.2,0,48,RESIDENTIAL,RESIDENTIAL,4,4,4,9.59,18.17,23.47
102,3,132,5,205,3,RAPIDO,21,25,21.42,5,0,1,13.373,27.11666667,NORMAL,0,27.4,2.2,0,48,27,1,0,49,RESIDENTIAL,RESIDENTIAL,3,5,3,7.63,9.87,15.33
344,4,,,644,2,UBER,22,56,22.93,5,0,0,38.813,67.76666667,NORMAL,0,24.2,1.1,0,54,24.6,1.5,0,59,TRANSIT_HUB,RESIDENTIAL,4,0,2,8.86,0,16.59
450,4,,,1110,2,UBER,23,3,23.05,5,0,0,46.347,69.73333333,LOW,0,23.4,2.5,0,61,24.8,3.1,0,64,TRANSIT_HUB,RESIDENTIAL,4,0,2,9.71,0,23.95
224,3,285,3,273,3,RAPIDO,23,8,23.13,5,0,0,18.441,43.11666667,MODERATE,0,24.3,1.5,0,60,24.1,1.5,0,58,TRANSIT_HUB,RESIDENTIAL,3,3,3,12.15,15.45,14.8
435,5,,,528,5,RAPIDO,23,14,23.23,5,0,0,24.415,43.43333333,NORMAL,0,23.3,2.5,0,61,24.3,1.5,0,60,RESIDENTIAL,RESIDENTIAL,5,0,5,17.82,0,21.63
536,5,,,763,5,RAPIDO,23,22,23.37,5,0,0,43.275,75.3,NORMAL,0,22.5,3.8,0,69,23.3,3.4,0,72,RESIDENTIAL,RESIDENTIAL,5,0,5,12.39,0,17.63
342,4,498,4,486,4,RAPIDO,23,25,23.42,5,0,0,25.519,45.23333333,NORMAL,0,23.7,2.8,0,67,23.3,3.4,0,72,TRANSIT_HUB,RESIDENTIAL,4,4,4,13.4,19.51,19.04
425,4,,,602,4,RAPIDO,23,30,23.5,5,0,0,29.138,48.25,NORMAL,0,23.2,3.6,0,72,23.9,4.6,0,75,TRANSIT_HUB,RESIDENTIAL,4,0,4,14.59,0,20.66
281,3,465,3,445,3,RAPIDO,23,32,23.53,5,0,0,23.606,44.06666667,NORMAL,0,23.9,4.6,0,75,22.8,3.9,0,77,RESIDENTIAL,RESIDENTIAL,3,3,3,11.9,19.7,18.85
442,3,484,3,475,3,RAPIDO,23,35,23.58,5,0,0,11.172,28.3,MODERATE,0,23.9,4.6,0,75,23.2,3.6,0,72,RESIDENTIAL,RESIDENTIAL,3,3,3,39.56,43.32,42.52
181,5,,,415,6,UBER,23,38,23.63,5,0,0,23.606,44.06666667,NORMAL,0,23.9,4.6,0,75,22.8,3.9,0,77,RESIDENTIAL,RESIDENTIAL,5,0,6,7.67,0,17.58
295,4,807,2,506,3,UBER,23,40,23.67,5,0,0,11.172,28.3,MODERATE,0,23.9,4.6,0,75,23.2,3.6,0,72,RESIDENTIAL,RESIDENTIAL,4,2,3,26.41,72.23,45.29
260,3,468,4,642,6,UBER,23,43,23.72,5,0,0,25.876,41.48333333,NORMAL,0,23.2,3.6,0,72,23.9,4.6,0,75,TRANSIT_HUB,RESIDENTIAL,3,4,6,10.05,18.09,24.81
337,4,,,766,6,UBER,23,45,23.75,5,0,0,37.719,58.83333333,NORMAL,0,23.7,4.9,0,77,21.8,4.9,0,76,RESIDENTIAL,TRANSIT_HUB,4,0,6,8.93,0,20.31
